MAC,time,rssi
24:18:1d:eb:e5:b8,1568352826,26
,1568351936,17
,1568351864,21
,1568351786,17
,1568351683,18
,1568351487,15
,1568351302,18
,1568351229,19
,1568351172,17
,1568351023,20
,1568350889,21
,1568350801,19
,1568350729,18
,1568350630,19
,1568350542,20
,1568350491,19
,1568350295,21
,1568350244,22
,1568350177,19
,1568350110,17
,1568349955,20
,1568349924,21
5c:aa:fd:40:90:30,1568352863,19
,1568351905,18
,1568351740,18
,1568351714,19
,1568351663,19
,1568351570,19
,1568351405,18
,1568351302,19
,1568351070,18
,1568350899,19
,1568350605,18
,1568350558,19
,1568350471,19
,1568350264,18
,1568350105,18
,1568349915,18
5c:aa:fd:40:67:01,1568352889,23
,1568352044,24
,1568351977,24
,1568351854,25
,1568351802,24
,1568351735,25
,1568351658,26
,1568351570,24
,1568351488,24
,1568351333,25
,1568351271,25
,1568351193,25
,1568351126,25
,1568351065,26
,1568350930,25
,1568350837,25
,1568350719,26
,1568350641,26
,1568350579,27
,1568350517,27
,1568350399,26
,1568350295,25
,1568350245,25
,1568350177,25
,1568350105,25
,1568349987,25
,1568349920,25
5c:cf:7f:62:de:09,1568352893,26
,1568352017,28
,1568351978,27
,1568351858,30
,1568351683,26
,1568351651,30
,1568351580,29
,1568351420,29
,1568351302,28
,1568351228,29
,1568351172,29
,1568351115,29
,1568351053,29
,1568350878,30
,1568350846,29
,1568350702,30
,1568350636,28
,1568350563,29
,1568350496,30
,1568350388,29
,1568350269,29
,1568350213,30
,1568350084,30
,1568349975,30
,1568349877,30
4c:ef:c0:70:ba:96,1568352812,54
,1568352039,53
,1568351983,54
,1568351813,52
,1568351777,53
,1568351730,54
,1568351663,53
,1568351540,53
,1568351468,54
,1568351297,53
,1568351271,53
,1568351178,53
,1568351060,53
,1568350817,53
,1568350730,52
,1568350580,53
,1568350451,54
,1568350379,54
,1568350291,54
,1568350245,54
,1568350168,54
,1568350106,54
,1568349997,54
,1568349930,53
7c:67:a2:c3:ed:8a,1568349917,23
dc:a9:04:88:b9:b6,1568350949,19
,1568350408,17
,1568350048,19
,1568349868,17
f4:f5:d8:bd:dc:f0,1568352876,20
,1568352040,34
,1568351981,15
,1568351847,38
,1568351782,30
,1568351717,26
,1568351653,34
,1568351524,20
,1568351460,26
,1568351331,29
,1568351267,28
,1568351202,28
,1568351138,28
,1568351074,44
,1568350882,21
,1568350817,28
,1568350689,44
,1568350625,36
,1568350560,21
,1568350496,26
,1568350368,29
,1568350303,22
,1568350239,30
,1568350175,24
,1568350110,32
,1568349982,41
,1568349917,20
5c:aa:fd:40:90:31,1568352873,19
,1568352044,18
,1568351977,17
,1568351787,19
,1568351693,18
,1568351663,19
,1568351560,19
,1568351488,19
,1568351318,18
,1568351240,18
,1568351178,19
,1568351132,19
,1568351070,19
,1568350930,18
,1568350837,18
,1568350693,18
,1568350631,18
,1568350548,17
,1568350517,18
,1568350399,18
,1568350280,18
,1568350245,18
,1568350178,18
,1568350110,18
,1568349992,18
,1568349925,17
5c:aa:fd:40:67:00,1568352863,24
,1568351936,24
,1568351792,24
,1568351724,24
,1568351663,24
,1568351442,24
,1568351281,25
,1568351245,25
,1568351085,25
,1568350941,25
,1568350796,26
,1568350471,27
,1568350265,27
,1568349925,26
78:28:ca:95:f7:74,1568351931,31
,1568351751,32
,1568351725,32
,1568351663,33
,1568351581,31
,1568351410,33
,1568351245,32
,1568351080,31
,1568350925,33
,1568350559,33
,1568350471,33
,1568349925,33
ec:fa:bc:09:31:af,1568352893,27
,1568352048,27
,1568351972,24
,1568351858,26
,1568351692,26
,1568351651,26
,1568351580,26
,1568351435,27
,1568351302,25
,1568351223,26
,1568351172,26
,1568351110,26
,1568351053,26
,1568350931,24
,1568350810,26
,1568350702,25
,1568350619,25
,1568350563,26
,1568350496,26
,1568350394,26
,1568350269,26
,1568350213,26
,1568350073,26
,1568349971,24
,1568349893,26
f0:4f:7c:33:a5:58,1568352863,19
,1568352017,27
,1568351896,23
,1568351836,22
,1568351776,23
,1568351655,22
,1568351534,24
,1568351474,21
,1568351293,21
,1568351112,20
,1568351052,19
,1568350871,22
,1568350810,22
,1568350629,23
,1568350569,20
,1568350448,22
,1568350388,23
,1568350208,27
,1568350147,21
,1568350087,24
,1568349906,23
78:88:6d:d3:51:97,1568352781,27
,1568351385,28
,1568351277,27
,1568351044,28
,1568350039,27
,1568349951,27
,1568349889,29
94:b0:1f:63:9b:bf,1568351685,22
,1568351668,22
,1568351545,21
